candidate_id,query_name,generic_class,query_family,query_type,g_class,root_entity,collection_name,variant,design_pattern,benchmark_priority,embedded_entities,referenced_entities,materialized_entities,n_embedded_entities,n_referenced_entities,n_materialized_entities,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score,physical_mapping_reliability,combined_document_design_risk_class,rationale,candidate_spec,candidate_spec_json
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,CONTROL,Person,persons_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",[],0,5,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'CONTROL', 'root_entity': 'Person', 'collection_name': 'persons_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""CONTROL"", ""root_entity"": ""Person"", ""collection_name"": ""persons_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction"", ""BuyTransaction""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G2,Person,persons_with_containment,embed_containment_children,embedded_containment,primary,"['Holding', 'Transaction']",[],[],2,0,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Embed containment children because the query follows containment paths that can be represented as nested arrays or subdocuments.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g2__embed_containment_children', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G2', 'root_entity': 'Person', 'collection_name': 'persons_with_containment', 'design_pattern': 'embedded_containment', 'embedded_entities': ['Holding', 'Transaction'], 'referenced_entities': [], 'materialized_entities': [], 'rationale': 'Embed containment children because the query follows containment paths that can be represented as nested arrays or subdocuments.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g2__embed_containment_children"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G2"", ""root_entity"": ""Person"", ""collection_name"": ""persons_with_containment"", ""design_pattern"": ""embedded_containment"", ""embedded_entities"": [""Holding"", ""Transaction""], ""referenced_entities"": [], ""materialized_entities"": [], ""rationale"": ""Embed containment children because the query follows containment paths that can be represented as nested arrays or subdocuments.""}"
q10_create_account_holding_and_buy_transaction__g3__association_references,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G3,Person,persons_with_references,association_references,association_references,primary,[],"['FinancialServiceAccount', 'ListedSecurity', 'Transaction']",[],0,3,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,"Represent associative, ownership, or subtype links through references or small embedded summaries because these links may connect reusable or independently managed entities.","{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g3__association_references', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G3', 'root_entity': 'Person', 'collection_name': 'persons_with_references', 'design_pattern': 'association_references', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'ListedSecurity', 'Transaction'], 'materialized_entities': [], 'rationale': 'Represent associative, ownership, or subtype links through references or small embedded summaries because these links may connect reusable or independently managed entities.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g3__association_references"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G3"", ""root_entity"": ""Person"", ""collection_name"": ""persons_with_references"", ""design_pattern"": ""association_references"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""ListedSecurity"", ""Transaction""], ""materialized_entities"": [], ""rationale"": ""Represent associative, ownership, or subtype links through references or small embedded summaries because these links may connect reusable or independently managed entities.""}"
q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G4,Person,persons_deep_nested,deep_nested_path,deep_nested_document,primary,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']",[],[],5,0,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Create a deep nested document following the query path because the query reaches entities at multiple conceptual depths.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g4__deep_nested_path', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G4', 'root_entity': 'Person', 'collection_name': 'persons_deep_nested', 'design_pattern': 'deep_nested_document', 'embedded_entities': ['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction'], 'referenced_entities': [], 'materialized_entities': [], 'rationale': 'Create a deep nested document following the query path because the query reaches entities at multiple conceptual depths.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g4__deep_nested_path"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G4"", ""root_entity"": ""Person"", ""collection_name"": ""persons_deep_nested"", ""design_pattern"": ""deep_nested_document"", ""embedded_entities"": [""BuyTransaction"", ""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction""], ""referenced_entities"": [], ""materialized_entities"": [], ""rationale"": ""Create a deep nested document following the query path because the query reaches entities at multiple conceptual depths.""}"
q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G5,Person,persons_shared_refs,shared_targets_as_references,shared_target_reference_strategy,primary,['BuyTransaction'],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']",[],1,4,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Use references for shared target entities to avoid excessive duplication when the same target is reused by many source entities.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G5', 'root_entity': 'Person', 'collection_name': 'persons_shared_refs', 'design_pattern': 'shared_target_reference_strategy', 'embedded_entities': ['BuyTransaction'], 'referenced_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction'], 'materialized_entities': [], 'rationale': 'Use references for shared target entities to avoid excessive duplication when the same target is reused by many source entities.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G5"", ""root_entity"": ""Person"", ""collection_name"": ""persons_shared_refs"", ""design_pattern"": ""shared_target_reference_strategy"", ""embedded_entities"": [""BuyTransaction""], ""referenced_entities"": [""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction""], ""materialized_entities"": [], ""rationale"": ""Use references for shared target entities to avoid excessive duplication when the same target is reused by many source entities.""}"
q10_create_account_holding_and_buy_transaction__g7__update_aware_references,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G7,Person,persons_update_aware,update_aware_references,update_aware_reference_design,secondary_affected,[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",[],0,6,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,Prefer references for update-volatile entities to reduce write amplification and document maintenance cost.,"{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g7__update_aware_references', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G7', 'root_entity': 'Person', 'collection_name': 'persons_update_aware', 'design_pattern': 'update_aware_reference_design', 'embedded_entities': [], 'referenced_entities': ['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction'], 'materialized_entities': [], 'rationale': 'Prefer references for update-volatile entities to reduce write amplification and document maintenance cost.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g7__update_aware_references"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G7"", ""root_entity"": ""Person"", ""collection_name"": ""persons_update_aware"", ""design_pattern"": ""update_aware_reference_design"", ""embedded_entities"": [], ""referenced_entities"": [""Person"", ""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction"", ""BuyTransaction""], ""materialized_entities"": [], ""rationale"": ""Prefer references for update-volatile entities to reduce write amplification and document maintenance cost.""}"
q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,G9,Person,persons_tradeoff,tradeoff_benchmark_candidate,benchmark_tradeoff_alternative,secondary_affected,[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'Person', 'BuyTransaction']",[],0,6,0,1.0,0.932,0.2958825,ok,strong_read_candidate_high_update_pressure,"Generate a benchmark-required trade-off candidate because the query has read-reduction potential together with update pressure, sharedness pressure, or mapping uncertainty.","{'candidate_id': 'q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate', 'query_name': 'Q10_CreateAccountHoldingAndBuyTransaction', 'g_class': 'G9', 'root_entity': 'Person', 'collection_name': 'persons_tradeoff', 'design_pattern': 'benchmark_tradeoff_alternative', 'embedded_entities': [], 'referenced_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'Person', 'BuyTransaction'], 'materialized_entities': [], 'rationale': 'Generate a benchmark-required trade-off candidate because the query has read-reduction potential together with update pressure, sharedness pressure, or mapping uncertainty.'}","{""candidate_id"": ""q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate"", ""query_name"": ""Q10_CreateAccountHoldingAndBuyTransaction"", ""g_class"": ""G9"", ""root_entity"": ""Person"", ""collection_name"": ""persons_tradeoff"", ""design_pattern"": ""benchmark_tradeoff_alternative"", ""embedded_entities"": [], ""referenced_entities"": [""FinancialServiceAccount"", ""Holding"", ""ListedSecurity"", ""Transaction"", ""Person"", ""BuyTransaction""], ""materialized_entities"": [], ""rationale"": ""Generate a benchmark-required trade-off candidate because the query has read-reduction potential together with update pressure, sharedness pressure, or mapping uncertainty.""}"
q1_company_profile_ibm__control__normalized_reference_baseline,Q1_CompanyProfileIBM,QG1,Local lookup,select,CONTROL,Corporation,corporations_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],[],[],0,0,0,0.0,0.0,0.0,ok,low_overall_design_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q1_company_profile_ibm__control__normalized_reference_baseline', 'query_name': 'Q1_CompanyProfileIBM', 'g_class': 'CONTROL', 'root_entity': 'Corporation', 'collection_name': 'corporations_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': [], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q1_company_profile_ibm__control__normalized_reference_baseline"", ""query_name"": ""Q1_CompanyProfileIBM"", ""g_class"": ""CONTROL"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
q1_company_profile_ibm__g0__root_only,Q1_CompanyProfileIBM,QG1,Local lookup,select,G0,Corporation,corporations,root_only,root_only_collection,control,[],[],[],0,0,0,0.0,0.0,0.0,ok,low_overall_design_pressure,Use a simple root collection because the query has no relationship traversal or no relevant relationship-reduction need.,"{'candidate_id': 'q1_company_profile_ibm__g0__root_only', 'query_name': 'Q1_CompanyProfileIBM', 'g_class': 'G0', 'root_entity': 'Corporation', 'collection_name': 'corporations', 'design_pattern': 'root_only_collection', 'embedded_entities': [], 'referenced_entities': [], 'materialized_entities': [], 'rationale': 'Use a simple root collection because the query has no relationship traversal or no relevant relationship-reduction need.'}","{""candidate_id"": ""q1_company_profile_ibm__g0__root_only"", ""query_name"": ""Q1_CompanyProfileIBM"", ""g_class"": ""G0"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations"", ""design_pattern"": ""root_only_collection"", ""embedded_entities"": [], ""referenced_entities"": [], ""materialized_entities"": [], ""rationale"": ""Use a simple root collection because the query has no relationship traversal or no relevant relationship-reduction need.""}"
q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,CONTROL,Corporation,corporations_normalized_baseline,normalized_reference_baseline,normalized_reference_baseline,control,[],"['Industry', 'Country', 'ListedSecurity']",[],0,3,0,1.0,0.36299999999999993,0.2974182444061962,needs_review_no_observed_match,strong_read_candidate_low_maintenance_pressure,Control configuration. Keep related entities as independent collections connected by references.,"{'candidate_id': 'q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline', 'query_name': 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'g_class': 'CONTROL', 'root_entity': 'Corporation', 'collection_name': 'corporations_normalized_baseline', 'design_pattern': 'normalized_reference_baseline', 'embedded_entities': [], 'referenced_entities': ['Industry', 'Country', 'ListedSecurity'], 'materialized_entities': [], 'rationale': 'Control configuration. Keep related entities as independent collections connected by references.'}","{""candidate_id"": ""q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline"", ""query_name"": ""Q2_CompanyWithIndustryCountryAndListedSecurities"", ""g_class"": ""CONTROL"", ""root_entity"": ""Corporation"", ""collection_name"": ""corporations_normalized_baseline"", ""design_pattern"": ""normalized_reference_baseline"", ""embedded_entities"": [], ""referenced_entities"": [""Industry"", ""Country"", ""ListedSecurity""], ""materialized_entities"": [], ""rationale"": ""Control configuration. Keep related entities as independent collections connected by references.""}"
