query_name,generic_class,query_family,edge_position,edge_id,relationship_name,observed_cardinality,hint_confidence,computation_status
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,observed_N_to_M,high,computed
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,2,Corporation -- Country [corporation_has_country],corporation_has_country,observed_N_to_M,high,computed
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,no_observed_matches,medium,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,1,ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,no_observed_matches,medium,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,observed_N_to_M,high,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,observed_N_to_M,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,no_observed_matches,medium,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,observed_N_to_M,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,3,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,observed_N_to_M,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,4,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,observed_N_to_M,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,1,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,observed_N_to_M,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,2,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,observed_N_to_M,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,3,ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,no_observed_matches,low,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,4,FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,no_observed_matches,low,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,observed_N_to_M,high,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,2,Corporation -- Country [corporation_has_country],corporation_has_country,observed_N_to_M,high,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,no_observed_matches,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,no_observed_matches,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,observed_N_to_M,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,3,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,observed_N_to_M,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,4,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,observed_N_to_M,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,5,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,observed_1_to_1,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,6,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,observed_1_to_1,medium,computed
