source,target,name,semantic_type,notes,edge_id,source_target_pair,observed_cardinality,computation_status,hint_type,hint_confidence,joined_rows,source_non_null_rows,target_non_null_rows,source_distinct_keys,target_distinct_keys,joined_distinct_source_keys,joined_distinct_target_keys,is_descriptor,is_association,is_ownership,is_containment,is_subtype
Corporation,Industry,corporation_has_industry,descriptor,Connects a corporation to its industry classification.,Corporation -- Industry [corporation_has_industry],Corporation -> Industry,observed_N_to_M,computed,direct,high,2324,2324,452,358,452,358,358,True,False,False,False,False
Corporation,Country,corporation_has_country,descriptor,Connects a corporation to its country.,Corporation -- Country [corporation_has_country],Corporation -> Country,observed_N_to_M,computed,direct,high,2324,2324,249,20,249,20,20,True,False,False,False,False
Corporation,ListedSecurity,corporation_has_listed_security,association,Connects a corporation to listed securities.,Corporation -- ListedSecurity [corporation_has_listed_security],Corporation -> ListedSecurity,no_observed_matches,computed,bridge,medium,0,2324,2745,2324,2745,0,0,False,True,False,False,False
ListedSecurity,Security,listed_security_represents_security,association,Connects a listed security to the underlying security.,ListedSecurity -- Security [listed_security_represents_security],ListedSecurity -> Security,no_observed_matches,computed,direct,medium,0,2745,2745,2745,3,0,0,False,True,False,False,False
Person,FinancialServiceAccount,person_owns_financial_service_account,ownership,Connects a person to a financial service account.,Person -- FinancialServiceAccount [person_owns_financial_service_account],Person -> FinancialServiceAccount,observed_N_to_M,computed,direct,high,97270,50100,97270,50100,50000,50000,50000,False,False,True,False,False
FinancialServiceAccount,Holding,account_has_holding,containment,Connects an account to the holdings inside it.,FinancialServiceAccount -- Holding [account_has_holding],FinancialServiceAccount -> Holding,observed_N_to_M,computed,direct,high,200000,97270,200000,97270,36445,36445,36445,False,False,False,True,False
Holding,ListedSecurity,holding_refers_to_listed_security,association,Connects a holding to the listed security being held.,Holding -- ListedSecurity [holding_refers_to_listed_security],Holding -> ListedSecurity,observed_N_to_M,computed,direct,high,200000,200000,2745,2745,2745,2745,2745,False,True,False,False,False
FinancialServiceAccount,Transaction,account_records_transaction,containment,Connects an account to its transactions.,FinancialServiceAccount -- Transaction [account_records_transaction],FinancialServiceAccount -> Transaction,observed_N_to_M,computed,direct,high,200000,97270,200000,97270,84838,84838,84838,False,False,False,True,False
Transaction,ListedSecurity,transaction_refers_to_listed_security,association,Connects a transaction to the listed security traded.,Transaction -- ListedSecurity [transaction_refers_to_listed_security],Transaction -> ListedSecurity,observed_N_to_M,computed,direct,high,200000,200000,2745,2745,2745,2745,2745,False,True,False,False,False
BuyTransaction,Transaction,buy_transaction_is_transaction,subtype,Models buy transactions as a subtype of transaction.,BuyTransaction -- Transaction [buy_transaction_is_transaction],BuyTransaction -> Transaction,observed_1_to_1,computed,subtype_alias,medium,200000,200000,200000,200000,200000,200000,200000,False,False,False,False,True
SellTransaction,Transaction,sell_transaction_is_transaction,subtype,Models sell transactions as a subtype of transaction.,SellTransaction -- Transaction [sell_transaction_is_transaction],SellTransaction -> Transaction,observed_1_to_1,computed,subtype_alias,medium,200000,200000,200000,200000,200000,200000,200000,False,False,False,False,True
Corporation,FinancialReport,corporation_has_financial_report,containment,Connects a corporation to its financial reports.,Corporation -- FinancialReport [corporation_has_financial_report],Corporation -> FinancialReport,observed_N_to_M,computed,direct,high,48301,2324,48301,2324,2324,2324,2324,False,False,False,True,False
FinancialReport,ReportElement,financial_report_contains_report_element,containment,Connects a financial report to report-level metric data.,FinancialReport -- ReportElement [financial_report_contains_report_element],FinancialReport -> ReportElement,observed_N_to_M,computed,direct,high,200000,48301,200000,48301,3586,3586,3586,False,False,False,True,False
ReportElement,StatementElement,report_element_has_statement_element,containment,Connects report elements to statement elements.,ReportElement -- StatementElement [report_element_has_statement_element],ReportElement -> StatementElement,no_observed_matches,computed,direct,low,0,200000,200000,200000,200000,0,0,False,False,False,True,False
FinancialReport,Disclosure,financial_report_contains_disclosure,containment,Connects a financial report to disclosure data.,FinancialReport -- Disclosure [financial_report_contains_disclosure],FinancialReport -> Disclosure,no_observed_matches,computed,direct,low,0,48301,200000,48301,56,0,0,False,False,False,True,False
