query_name,query_type,generic_class,query_family,entities_touched,abstract_query,notes,n_entities_touched
Q1_CompanyProfileIBM,select,QG1,Local lookup,['Corporation'],Show the profile of company IBM.,Local lookup over Corporation. The concrete company name IBM is treated as a query parameter.,1
Q2_CompanyWithIndustryCountryAndListedSecurities,select,QG2,Shallow rooted retrieval,"['Corporation', 'Industry', 'Country', 'ListedSecurity']","Show IBM with its industry, country, and listed securities.",Shallow rooted retrieval centered on Corporation with direct descriptor and associated entities.,4
Q3_SecuritiesHeldInEachFinancialServiceAccount,select,QG3,Associative retrieval,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",Show the securities held in each financial service account.,Associative retrieval from financial service accounts through holdings to listed securities and underlying securities.,4
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,select,QG4,Deep traversal,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","Show the companies reached from a person through account, holding, and listed security.",Deep traversal from Person to Corporation through the account and holding structure.,5
Q5_ReportsAndMetricDataOfCompany,select,QG5,Containment retrieval,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",Show the financial reports of a company and the metric data contained in each report.,"Containment retrieval from Corporation to FinancialReport and its contained report elements, statement elements, and disclosures.",5
Q6_TechUSListedSecuritiesWithHighLastTradedValue,select,QG6,Filtered search / recommendation,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",Find listed securities of technology companies in the US with high last traded value.,"Filtered search over listed securities using corporation industry, country, and traded-value predicates.",4
Q7_PersonsWhoBoughtMoreIBMThanSold,select,QG7,Aggregation / ranking,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",Who bought more IBM stocks than they sold?,Aggregation comparing buy and sell quantities per person for the IBM listed security.,7
Q8_IBMTransactionsBelowAverageSellingPrice,select,QG8,Aggregation / ranking,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",Show me each transaction for IBM whose price is less than the average selling price.,Comparison query that computes an average selling price and returns IBM transactions below that value.,4
Q9_PersonsWhoBoughtAndSoldSameStock,select,QG9,Associative retrieval + comparison,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",Show me everyone who bought and sold the same stock.,Associative comparison query identifying persons with both buy and sell activity for the same listed security.,6
Q10_CreateAccountHoldingAndBuyTransaction,insert,QG10,Update / insertion with relationship creation,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']","Create a financial service account for a person, add a holding for a listed security, and register a buy transaction with price and quantity.","Insertion workload with relationship creation across person, account, holding, listed security, and buy transaction.",6
