config_id,config_name,activated_class,derived_from_query,generic_class,selected_root,proposed_embedding_depth,embedded_entities,snapshot_entities,referenced_entities,embedding_variant,activation_reason
CFG_WatchItem_G0_QG10_AdvancedSearchWatchItems,watchitem_g0,G0,QG10_AdvancedSearchWatchItems,QG10,WatchItem,0,,,"Genre, Movie, Series, Episode",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G2_QG10_AdvancedSearchWatchItems,watchitem_g2,G2,QG10_AdvancedSearchWatchItems,QG10,WatchItem,1,Genre,,"Movie, Series, Episode",shared_descriptor,"A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade."
CFG_WatchItem_G3_QG10_AdvancedSearchWatchItems,watchitem_g3,G3,QG10_AdvancedSearchWatchItems,QG10,WatchItem,1,"Episode, Movie, Series",,Genre,structural_component,"A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade."
CFG_WatchItem_G0_QG1_WatchItemById,watchitem_g0,G0,QG1_WatchItemById,QG1,WatchItem,0,,,,baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G0_QG2_WatchItemByTitle,watchitem_g0,G0,QG2_WatchItemByTitle,QG2,WatchItem,0,,,,baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G0_QG3_RecommendationByGenreAndSubtype,watchitem_g0,G0,QG3_RecommendationByGenreAndSubtype,QG3,WatchItem,0,,,"Genre, Movie, Series, Episode",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G2_QG3_RecommendationByGenreAndSubtype,watchitem_g2,G2,QG3_RecommendationByGenreAndSubtype,QG3,WatchItem,1,Genre,,"Movie, Series, Episode",shared_descriptor,"A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade."
CFG_WatchItem_G3_QG3_RecommendationByGenreAndSubtype,watchitem_g3,G3,QG3_RecommendationByGenreAndSubtype,QG3,WatchItem,1,"Episode, Movie, Series",,Genre,structural_component,"A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade."
CFG_WatchItem_G0_QG4_AllPersonsOfTypeForWatchItem,watchitem_g0,G0,QG4_AllPersonsOfTypeForWatchItem,QG4,WatchItem,0,,,"Role, Person",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G4_QG4_AllPersonsOfTypeForWatchItem,watchitem_g4,G4,QG4_AllPersonsOfTypeForWatchItem,QG4,WatchItem,1,Role,,Person,associative_partial,A matriz indica região associativa relevante; a entidade associativa próxima da raiz é candidata a embutimento parcial.
CFG_WatchItem_G5_QG4_AllPersonsOfTypeForWatchItem,watchitem_g5,G5,QG4_AllPersonsOfTypeForWatchItem,QG4,WatchItem,2,Role,Person,Person,associative_snapshot,Há caminho associativo profundo com entidade final compartilhada; snapshot é candidato quando full embedding pode ser arriscado.
CFG_WatchItem_G6_QG4_AllPersonsOfTypeForWatchItem,watchitem_g6,G6,QG4_AllPersonsOfTypeForWatchItem,QG4,WatchItem,2,"Role, Person",,,associative_full,Há caminho associativo profundo e baixa volatilidade suficiente para testar o limite superior da absorção.
CFG_WatchItem_G0_QG5_AllPersonsForEpisodesOfSeries,watchitem_g0,G0,QG5_AllPersonsForEpisodesOfSeries,QG5,WatchItem,0,,,"Series, Episode, Role, Person",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G4_QG5_AllPersonsForEpisodesOfSeries,watchitem_g4,G4,QG5_AllPersonsForEpisodesOfSeries,QG5,WatchItem,1,Role,,"Series, Episode, Person",associative_partial,A matriz indica região associativa relevante; a entidade associativa próxima da raiz é candidata a embutimento parcial.
