query_name,generic_class,query_family,query_type,selected_root,n_entities_touched,max_entity_depth,max_edge_depth,n_unique_edges,edge_depths,semantic_types,relationship_names
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,1,0,0,0,[],[],[]
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,4,1,1,3,[1],"['association', 'descriptor']","['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,4,3,3,3,"[1, 2, 3]","['association', 'containment']","['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,5,4,4,4,"[1, 2, 3, 4]","['association', 'containment', 'ownership']","['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']"
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,5,3,3,4,"[1, 2, 3]",['containment'],"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,4,2,2,3,"[1, 2]","['association', 'descriptor']","['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,7,4,4,7,"[1, 2, 3, 4]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']"
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,4,2,2,3,"[1, 2]","['association', 'subtype']","['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']"
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,6,3,3,6,"[1, 2, 3]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']"
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,6,3,3,5,"[1, 2, 3]","['association', 'containment', 'ownership', 'subtype']","['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']"
